Código;Nombre;Fabricante;Modelo;Número de Serial;Patente;Tipo;Clasificación 1;Clasificación 2;Ubicado en ó es Parte de;Formulario Personalizado
GRHD-0026;GRÚA HIDRÁULICA;TEREX;RT100US;TEX805067;LPPR-81;GRUAS HIDRAULICAS;GRUAS MOVILES < 90;2019;// GRUPO EMI/ CC-0003 VENTA MAQUINARIA EIMI/ ;OPERATIVO - EN USO
GRHD-0027;GRÚA HIDRÁULICA;TEREX;RT-670;1T9RT604KKK262263;LPKC-57;GRUAS HIDRAULICAS;GRÚAS MÓVILES < 100T;2019;// GRUPO EMI/ CC-0406 CONSTRUCCION DEFENSAS FLUVIALES/ ;OPERATIVO - EN USO
GRHD-0028;GRÚA HIDRÁULICA;TEREX;RT-670;1T9RT604KJK262239;LPKC-58;GRUAS HIDRAULICAS;GRÚAS MÓVILES < 100T;2019;// GRUPO EMI/ CC-0413 EJECUCION MONTAJES ESPESADOR DE CABEZA PMFC-DAND/ ;OPERATIVO - EN USO
GRHD-0029;GRÚA HIDRÁULICA;TEREX;RT-555;1T9RT504HKK262266;LPKC-56;GRUAS HIDRAULICAS;GRÚAS MÓVILES < 100T;2019;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
GRHD-0030;GRÚA HIDRÁULICA;TEREX;RT-780;1T9RT704HKK262259;;GRUAS HIDRAULICAS;GRÚAS MÓVILES < 100T;2019;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
GRHD-0034;GRÚA HIDRÁULICA;TADANO;GR-1000XL;RA1265;;GRUAS HIDRAULICAS;GRUAS MOVILES < 90;2023;// GRUPO EMI/ CC-0403 RADOMIRO TOMIC/ ;OPERATIVO - EN USO
GRHD-0035;GRÚA HIDRÁULICA;ZOOMLION;ZRT1100D533;ZRT1100-0218;VFJL-62;GRUAS HIDRAULICAS;GRÚAS MÓVILES < 100T;2025;// GRUPO EMI/ CC-0389 K484 ENAP - SWS and WSA unit - Aconcagua Refinery, Chile - I03 General Construction Works/ ;OPERATIVO - EN USO
GRHD-0036;GRÚA HIDRÁULICA;LIEBHERR;LRT1130-2.1;WLFR21CZ1SZZ0089 / SERIE 077817;VPCT-38;;;2026;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
GRHD-0037;GRÚA HIDRÁULICA;TADANO;GR-550XLL-3;542084;VTFD-55;;;2022;// GRUPO EMI/ CC-0400 COLLAHUASI/ ;OPERATIVO - EN USO
GRHD-0038;GRÚA HIDRÁULICA;TADANO;GR800XL-4;RA2683;VTWW-49;;;;// GRUPO EMI/ CC-0003 - CALAMA/ ;EN PREPARACION OBRA
GRHD-0039;GRÚA HIDRÁULICA;TADANO;GR800XL-4;RA2685;VTZV-53;;;;// GRUPO EMI/ CC-0397 Construccion y montajecondensadores sincronos S/E Ana Maria/ ;OPERATIVO - EN USO
